Q(1): Ø§ÙØ³Ø¤Ø§Ù,Ø®ÙØ§Ø± 1,Ø®ÙØ§Ø± 2,Ø®ÙØ§Ø± 3,Ø®ÙØ§Ø± 4,Ø§ÙØ¥Ø¬Ø§Ø¨Ø©,Ø§ÙØªÙØ³ÙØ±,Ø±Ø§Ø¨Ø· Ø§ÙØµÙØ±Ø©,Ø§Ø³Ù Ø§ÙÙÙÙ,Detailed,Subject,Source
"Q(5351): Painless swelling in the palate of smoker, bilateral parotid masses?",Warthin tumor,Pleomorphic adenoma,Mucoepidermoid carcinoma,Adenoid cystic carcinoma,Warthin tumor,Benign cystadenoma associated with smoking.,,,Usually requires excision.,Pathology,
Q(5352): White lacy pattern on buccal mucosa?,Oral lichen planus,Leukoplakia,Candidiasis,Pemphigoid,Oral lichen planus,Characteristic Wickham striae caused by autoimmune process.,,,May cause burning sensation.,Pathology,
Q(5355): Purplish oral lesions in HIV patient caused by?,Kaposi sarcoma (HHV-8),Oral hairy leukoplakia,Herpes simplex,Cytomegalovirus,Kaposi sarcoma (HHV-8),Vascular tumor associated with immunosuppression.,,,Requires systemic management.,Pathology,
Q(5357): Oral lesion with white curd-like removable plaques?,Pseudomembranous candidiasis,Leukoplakia,Oral hairy leukoplakia,Lichen planus,Pseudomembranous candidiasis,Candida infection seen in immunocompromised.,,,Treated with antifungals.,Pathology,
Q(5358): Papillary oral lesions caused by HPV?,Verruca vulgaris,Leukoplakia,Lichen planus,Mucous membrane pemphigoid,Verruca vulgaris,Common wart caused by HPV infection.,,,Usually benign and self-limiting.,Pathology,
"Q(5359): A painless, slow-growing swelling in the palate of a middle-aged patient is most likely?",Pleomorphic adenoma,Mucoepidermoid carcinoma,Warthin tumor,Adenoid cystic carcinoma,Pleomorphic adenoma,The most common benign salivary gland tumor with mixed epithelial and mesenchymal components.,,,Usually treated with complete surgical excision.,Pathology,
"Q(5361): Which lesion is characterized by multiple yellowish spots on the buccal mucosa, representing ectopic sebaceous glands?",Fordyce granules,Leukoplakia,Lichen planus,Candidiasis,Fordyce granules,A normal anatomical variant requiring no treatment.,,,Often incidental finding during oral examination.,Pathology,
Q(5364): The “sunburst” pattern on radiographs is a feature of which condition?,Osteosarcoma,Fibrous dysplasia,Paget’s disease,Cementoblastoma,Osteosarcoma,Malignant bone tumor producing aggressive periosteal reaction.,,,Requires aggressive treatment including surgery and chemotherapy.,Pathology,
Q(5367): Which oral lesion presents as a white plaque that cannot be wiped off and is potentially precancerous?,Leukoplakia,Pseudomembranous candidiasis,Oral hairy leukoplakia,Lichen planus,Leukoplakia,Diagnosis of exclusion requiring biopsy to rule out dysplasia or carcinoma.,,,Major risk factors include tobacco and alcohol use.,Pathology,
"Q(5371): Which condition causes erythematous, atrophic patches on the tongue and burning sensation in patients with iron deficiency?",Atrophic glossitis,Leukoplakia,Candidiasis,Lichen planus,Atrophic glossitis,Due to papillary atrophy and mucosal inflammation from iron deficiency.,,,Patients may also have angular stomatitis.,Pathology,
Q(5373): Which oral condition is strongly associated with betel quid chewing and causes fibrosis and restricted mouth opening?,Oral submucous fibrosis,Leukoplakia,Lichen planus,Candidiasis,Oral submucous fibrosis,Precancerous condition characterized by progressive fibrosis.,,,High risk of malignant transformation.,Pathology,
Q(5376): The characteristic oral lesion in Crohn’s disease is?,Cobblestone mucosa and lip swelling,Leukoplakia,Candidiasis,Aphthous ulcers,Cobblestone mucosa and lip swelling,Granulomatous inflammation causes mucosal changes.,,,May be an early sign of systemic disease.,Pathology,
Q(5377): The hallmark of leukoplakia with severe dysplasia is?,Epithelial hyperplasia with nuclear pleomorphism,Normal epithelium,Hyperkeratosis,Granulomatous inflammation,Epithelial hyperplasia with nuclear pleomorphism,Indicates increased risk of malignant transformation.,,,Requires biopsy and close monitoring.,Pathology,
"Q(5378): A painless swelling in the parotid gland of a smoker, often bilateral, is?",Warthin tumor,Pleomorphic adenoma,Mucoepidermoid carcinoma,Adenoid cystic carcinoma,Warthin tumor,Benign cystadenoma lymphomatosum associated with smoking.,,,Usually slow growing and asymptomatic.,Pathology,
Q(5379): Which oral lesion shows a positive Nikolsky sign?,Pemphigus vulgaris,Oral lichen planus,Leukoplakia,Herpes simplex,Pemphigus vulgaris,Gentle pressure causes epithelial detachment.,,,Diagnostic for intraepithelial blistering diseases.,Pathology,
Q(5380): Which oral fungal infection presents with pseudomembranous white plaques that can be wiped off?,Pseudomembranous candidiasis,Leukoplakia,Oral hairy leukoplakia,Lichen planus,Pseudomembranous candidiasis,Caused by Candida albicans overgrowth.,,,Common in immunocompromised patients.,Pathology,
"Q(5383): Which lesion is a benign, reactive hyperplasia of fibrous connective tissue caused by chronic irritation?",Irritation fibroma,Pyogenic granuloma,Mucocele,Traumatic ulcer,Irritation fibroma,"Smooth, firm, painless nodule usually on buccal mucosa.",,,Requires excision if symptomatic.,Pathology,
Q(5385): What systemic disease causes “cobblestone” mucosa and lip swelling?,Crohn’s disease,Sarcoidosis,Tuberculosis,Wegener’s granulomatosis,Crohn’s disease,Granulomatous inflammation with characteristic oral manifestations.,,,Oral lesions may precede systemic symptoms.,Pathology,
Q(7): What is the primary indication for using nitrous oxide as a sedative during dental procedures?,For providing profound anesthesia,To manage anxiety and pain in non-cooperative patients,For deep sedation,For conscious sedation with minimal side effects,To manage anxiety and pain in non-cooperative patients,"Nitrous oxide is commonly used to reduce anxiety and pain, providing a calming effect while maintaining patient cooperation.",,,"The primary indication for using nitrous oxide in dental procedures is to manage mild to moderate anxiety and reduce the perception of pain, thereby improving patient cooperation. Nitrous oxide, when inhaled in appropriate concentrations mixed with oxygen, produces a state of conscious sedation. This means the patient remains awake and responsive but feels relaxed and less anxious. While it has some analgesic (pain-relieving) properties, it does not provide profound anesthesia; local anesthesia is still typically required for pain control during invasive procedures. Nitrous oxide is not intended for deep sedation, where the patient loses consciousness and the ability to respond. Its minimal side effects and rapid onset and recovery make it a valuable tool for managing anxious or slightly apprehensive patients, including children and those with dental phobias, to facilitate a more comfortable and cooperative dental experience.",Pedodontic,
Q(26): What is the ideal age to start orthodontic treatment for a child with a severe overbite?,3-5 years,6-8 years,9-12 years,13-15 years,9-12 years,"Early intervention is recommended around ages 9-12, when the child has both permanent and primary teeth, and skeletal growth is still occurring.",,,"(24): Early intervention is recommended around ages 9-12, when the child has both permanent and primary teeth, and skeletal growth is still occurring. At this age, orthodontic treatment can address skeletal issues while the child’s jaw is still growing, allowing for better alignment and correction of the overbite.",Pedodontic,
Q(55): What is the concentration of APF gel for fluoride treatment?,0.5%,1.23%,2%,5%,1.23%,Acidulated phosphate fluoride (APF) gel is commonly used at 1.23% concentration.,,,"(53): Acidulated phosphate fluoride (APF) gel is commonly used at 1.23% concentration. APF gel is widely used for fluoride treatments to prevent dental caries, as it enhances the remineralization of enamel. The 1.23% concentration is effective in providing adequate fluoride exposure while being safe for use in both children and adults.",Operative,
Q(59): Type of abuse when adult neglects child's basic needs,Sexual,Neglect,Physical,Emotional,Neglect,Defined as failure to provide necessities,,,"(57): Neglect is defined as failure to provide necessities. When an adult neglects a child's basic needs, such as food, shelter, and medical care, it is considered neglect. This form of abuse can have long-term physical, emotional, and developmental consequences for the child, and it often requires intervention by social services or law enforcement.",Pedodontic,
Q(73): A 4-year-old girl has a large carious cavity in a primary molar with carious exposure of a vital pulp; there is no spontaneous pain or swelling. Which treatment option is most appropriate?,Direct pulp capping,Pulpotomy,Pulpectomy,Partial pulpotomy,Pulpotomy,"Pulpotomy is preferred for primary teeth with significant decay, especially if the pulp is affected but not fully necrotic.",,,"(71): Pulpotomy is preferred for primary teeth with significant decay, especially if the pulp is affected but not fully necrotic. Pulpotomy involves the removal of the infected portion of the pulp while preserving the healthy tissue, allowing the tooth to continue functioning until it naturally exfoliates.",Pedodontic,
Q(105): What is the most effective way to prevent caries in children?,Use of fluoride varnish,Brushing with fluoride toothpaste,Dental sealants,All of the above,All of the above,"The best way to prevent caries in children includes fluoride varnish, brushing with fluoride toothpaste, and dental sealants.",,,"(103): The best way to prevent caries in children includes fluoride varnish, brushing with fluoride toothpaste, and dental sealants. These preventive measures protect teeth from decay by strengthening enamel, reducing plaque accumulation, and covering vulnerable surfaces like pits and fissures.",Pedodontic,
Q(129): What is the most common oral manifestation of vitamin D deficiency in children?,Gingival swelling,Delayed tooth eruption,Tooth sensitivity,Oral ulcers,Delayed tooth eruption,Vitamin D deficiency can lead to delayed eruption of teeth in children.,,,"(127): Vitamin D deficiency can lead to delayed eruption of teeth in children. This deficiency disrupts calcium absorption, which is essential for the mineralization of teeth and bones, causing delays in the natural eruption process. Ensuring adequate vitamin D levels can promote proper dental development.",Pedodontic,
Q(141): The recommended dose of Amoxicillin for a child weighing 20 kg is:,25 mg/kg/day,50 mg/kg/day,10 mg/kg/day,15 mg/kg/day,25 mg/kg/day,The dose is calculated based on 25 mg/kg/day for a child weighing 20 kg.,,,(139): The dose is calculated based on 25 mg/kg/day for a child weighing 20 kg. This dosage ensures the child receives the correct amount of medication for optimal therapeutic effects while minimizing the risk of side effects. It's essential to calculate doses based on the child's weight for accurate and safe administration.,Pedodontic,
Q(157): A two-year-old child presented to the dental office for prophylaxis. A check-up was conducted and fluoride was advised to the parents to lessen the chances of caries. Which of the following is the most suitable fluoride form to be used in this case?,Foam,Gel,Rinse,Varnish,Varnish,Fluoride varnish is the most suitable form for young children as it is easy to apply and provides a sustained release of fluoride to protect against cavities.,,,"(155): Fluoride varnish is the most suitable form for young children as it is easy to apply and provides a sustained release of fluoride to protect against cavities. This method is safe, quick, and effective in protecting developing teeth.",Pedodontic,
Q(237): What should a dentist do if they notice signs of abuse or neglect in a patient's medical history?,Ignore it and focus on treatment,Report it to the appropriate authorities,Discuss it with the patient in a non-directive manner,Proceed with treatment and leave the issue unaddressed,Report it to the appropriate authorities,Dentists have a professional and ethical obligation to report suspected abuse or neglect to the appropriate authorities.,,,"(235) Dentists have a professional and ethical obligation to report suspected abuse or neglect to the appropriate authorities. If a dentist notices signs of abuse or neglect in a patient's medical history or during treatment, they must take immediate action to protect the patient. This may involve reporting the issue to local child protective services, adult protective services, or law enforcement agencies. Dentists are mandated reporters, meaning they are legally required to report any suspicions of abuse or neglect to ensure that the patient receives the necessary intervention and protection.",Pedodontic,
Q(238): What is the recommended amount of toothpaste for children under 3 years old?,A pea-sized amount,A rice-grain-sized amount,A full brush length,Half a pea-sized amount,A rice-grain-sized amount,"For children under 3 years old, a rice-grain-sized amount of fluoride toothpaste is recommended.",,,"(236) The recommended amount of toothpaste for children under 3 years old is a rice-grain-sized amount. This small quantity ensures that children receive enough fluoride to protect their teeth from decay without the risk of excessive fluoride ingestion. Fluoride is essential for strengthening enamel and preventing cavities, but young children are more susceptible to fluorosis if they ingest too much. Parents should be educated on how to apply the appropriate amount of toothpaste and ensure that children do not swallow it during brushing.",Pedodontic,
